Observation,Q_Values
"[0.006, -0.027, -0.013, 0.014]","[17.97166764930451, 12.683225936810231]"
"[0.005, -0.222, -0.013, 0.302]","[16.39064990350912, 8.130370845483075]"
"[0.001, -0.416, -0.007, 0.591]","[9.11702359701573, 12.500685167446923]"
"[-0.007, -0.221, 0.005, 0.296]","[12.678601482743304, 17.381458130209978]"
"[-0.012, -0.416, 0.011, 0.59]","[23.69825191858321, 23.483176059292237]"
"[-0.02, -0.221, 0.023, 0.301]","[21.52763108888668, 15.519738878618266]"
"[-0.025, -0.417, 0.029, 0.601]","[16.95208098948528, 23.792775518611016]"
"[-0.033, -0.222, 0.041, 0.317]","[22.744068357987686, 15.599824870006461]"
"[-0.037, -0.028, 0.047, 0.037]","[8.128606643764073, 14.957527686847945]"
"[-0.038, 0.167, 0.048, -0.24]","[22.156700416828446, 6.5877649242784955]"
"[-0.035, -0.029, 0.043, 0.067]","[22.297424486737597, 19.990920944578296]"
"[-0.035, 0.165, 0.044, -0.212]","[12.283044083060979, 16.351962129099412]"
"[-0.032, 0.36, 0.04, -0.49]","[19.283532500097515, 21.737123718036745]"
"[-0.025, 0.164, 0.03, -0.185]","[13.5969468152955, 14.557900993771156]"
"[-0.021, 0.359, 0.027, -0.468]","[9.237754695572868, 24.848765230014994]"
"[-0.014, 0.554, 0.017, -0.752]","[17.260173585954558, 5.30783233306658]"
"[-0.003, 0.749, 0.002, -1.039]","[20.170764648620153, 18.0806175639175]"
"[0.012, 0.944, -0.019, -1.331]","[11.693489294581347, 15.30238890946086]"
"[0.031, 0.749, -0.045, -1.045]","[9.95433195244934, 23.999441063522713]"
"[0.046, 0.944, -0.066, -1.351]","[17.88566845100662, 17.424266723899528]"
"[0.065, 1.14, -0.093, -1.664]","[24.064251502938273, 18.484185167077094]"
"[0.087, 1.336, -0.126, -1.984]","[13.383454181756031, 13.87323349975496]"
"[0.114, 1.533, -0.166, -2.313]","[13.362916386144475, 16.740778715707737]"
"[-0.041, 0.025, 0.048, 0.049]","[8.456593545634783, 6.192869851121204]"
"[-0.04, -0.171, 0.049, 0.356]","[16.492575127376924, 15.322664453764347]"
"[-0.044, -0.367, 0.056, 0.664]","[14.42049646138592, 9.017469359540645]"
"[-0.051, -0.562, 0.07, 0.974]","[20.092261353973168, 23.835779299374856]"
"[-0.062, -0.758, 0.089, 1.288]","[8.04673439775958, 12.610139877113296]"
"[-0.078, -0.955, 0.115, 1.607]","[5.848700901879871, 21.89488724913491]"
"[-0.097, -1.151, 0.147, 1.933]","[20.111916471363966, 9.530470734659202]"
"[-0.12, -0.958, 0.186, 1.689]","[18.17493853576089, 19.33146875282685]"
"[0.017, 0.022, -0.041, 0.039]","[23.603926357408337, 21.002773996917234]"
"[0.018, -0.172, -0.04, 0.318]","[22.6319758655321, 5.365126353275771]"
"[0.014, 0.023, -0.034, 0.013]","[13.557236203383843, 23.09950113205205]"
"[0.015, 0.219, -0.033, -0.29]","[10.147718062547186, 14.251015033335491]"
"[0.019, 0.415, -0.039, -0.593]","[24.57742221614988, 12.662681520304586]"
"[0.027, 0.22, -0.051, -0.313]","[18.97318260984303, 11.221770163543816]"
"[0.032, 0.416, -0.057, -0.621]","[21.942693405277996, 6.90958357012471]"
"[0.04, 0.222, -0.07, -0.347]","[7.880611923490468, 14.97488754801229]"
"[0.044, 0.028, -0.077, -0.077]","[12.142999558475097, 14.381505306284696]"
"[0.045, -0.166, -0.078, 0.191]","[23.651517886640136, 22.97563671835716]"
"[0.042, 0.03, -0.074, -0.126]","[9.888800311810659, 14.363635056809027]"
"[0.042, -0.164, -0.077, 0.143]","[21.57119049701204, 24.167506739073296]"
"[0.039, 0.032, -0.074, -0.173]","[9.99774256073273, 11.379908257498956]"
"[0.04, 0.228, -0.077, -0.488]","[24.215065219146013, 21.858305372714852]"
"[0.044, 0.034, -0.087, -0.221]","[19.929630419151678, 7.231760620657369]"
"[0.045, -0.16, -0.092, 0.043]","[18.652861518536298, 20.76139174771204]"
"[0.042, 0.037, -0.091, -0.277]","[10.408893694008412, 10.07377442500275]"
"[0.042, -0.157, -0.096, -0.014]","[24.736910908895567, 19.363314988076496]"
"[0.039, 0.039, -0.097, -0.336]","[21.385142599974493, 21.90227104274601]"
"[0.04, 0.236, -0.103, -0.657]","[24.859320178078452, 15.959370141957637]"
"[0.045, 0.042, -0.116, -0.399]","[5.295433378262551, 15.093268614914512]"
"[0.046, 0.239, -0.124, -0.726]","[13.639965323720215, 13.480069372235263]"
"[0.05, 0.435, -0.139, -1.055]","[20.72073268382605, 23.291968702799142]"
"[0.059, 0.632, -0.16, -1.388]","[10.13840502851343, 10.101319653292899]"
"[0.072, 0.439, -0.188, -1.149]","[20.662653428998343, 16.244918538226813]"
"[-0.001, -0.049, 0.035, 0.037]","[17.446768574563386, 19.393493675621947]"
"[-0.002, 0.146, 0.036, -0.244]","[6.897815217498, 15.187092937056137]"
"[0.001, 0.341, 0.031, -0.525]","[15.864219582188442, 14.459339472572402]"
"[0.007, 0.145, 0.02, -0.223]","[7.196289290077804, 17.090312205883272]"
"[0.01, 0.34, 0.016, -0.509]","[21.189755559884144, 17.2332272077391]"
"[0.017, 0.535, 0.006, -0.797]","[12.204136809381085, 14.120945261225003]"
"[0.028, 0.34, -0.01, -0.502]","[8.950729849126999, 21.80485943939925]"
"[0.035, 0.535, -0.02, -0.798]","[21.501604515612122, 20.711851669910807]"
"[0.045, 0.73, -0.036, -1.097]","[9.272526153392791, 10.759089911808339]"
"[0.06, 0.926, -0.058, -1.401]","[19.481756916928646, 21.650699249780097]"
"[0.078, 1.122, -0.086, -1.711]","[10.83691718606775, 9.08139121711821]"
"[0.101, 1.318, -0.12, -2.029]","[14.91401900506938, 8.919409481492416]"
"[0.127, 1.514, -0.161, -2.357]","[8.503769669065672, 6.364454309264202]"
"[0.157, 1.32, -0.208, -2.117]","[24.512238845230137, 20.36615296593759]"
"[-0.028, -0.032, 0.043, 0.039]","[13.822312408652124, 8.557527995546998]"
"[-0.028, -0.228, 0.044, 0.345]","[17.902183201693653, 22.87375452286311]"
"[-0.033, -0.034, 0.051, 0.067]","[8.90280414552982, 13.04759693122991]"
"[-0.033, 0.161, 0.053, -0.209]","[21.031415543916964, 17.918806359887277]"
"[-0.03, 0.355, 0.048, -0.485]","[24.540471399310675, 7.1151303684197]"
"[-0.023, 0.159, 0.039, -0.177]","[15.660241641370325, 21.534527471306024]"
"[-0.02, 0.354, 0.035, -0.458]","[11.417647512026019, 19.992002092176783]"
"[-0.013, 0.548, 0.026, -0.739]","[20.213283648522314, 11.685726346202687]"
"[-0.002, 0.743, 0.011, -1.023]","[12.949883296396285, 18.59971441682154]"
"[0.013, 0.938, -0.009, -1.313]","[8.85803735769268, 5.811393290701423]"
"[0.032, 0.743, -0.036, -1.023]","[22.605813667875594, 5.799291798077096]"
"[0.047, 0.549, -0.056, -0.742]","[10.059569948841485, 11.525106363476162]"
"[0.058, 0.744, -0.071, -1.051]","[18.87997104011103, 15.126697843622615]"
"[0.072, 0.94, -0.092, -1.365]","[23.745768439960983, 17.68079617654986]"
"[0.091, 0.747, -0.119, -1.103]","[6.627175262084414, 10.15127639118509]"
"[0.106, 0.943, -0.141, -1.43]","[21.269528273355643, 15.6899843763265]"
"[0.125, 1.14, -0.17, -1.764]","[19.746401809480126, 16.82466018099262]"
"[0.148, 1.336, -0.205, -2.104]","[22.084873887789087, 12.798960224594628]"
"[-0.005, -0.034, 0.032, -0.04]","[6.256372156092683, 12.610632590241709]"
"[-0.005, -0.229, 0.032, 0.263]","[14.42581000509589, 20.967636492948387]"
"[-0.01, -0.034, 0.037, -0.02]","[14.19900395140125, 12.981536789964029]"
"[-0.011, 0.16, 0.036, -0.301]","[18.41602941033229, 11.003801768278114]"
"[-0.007, 0.355, 0.03, -0.582]","[24.522014690129268, 8.886124454510957]"
"[-0.0, 0.549, 0.019, -0.865]","[10.681982491583318, 21.187353751784002]"
"[0.011, 0.744, 0.002, -1.151]","[20.281154503008885, 24.760229944754112]"
"[0.026, 0.939, -0.021, -1.443]","[6.288932345803278, 24.974523805371994]"
"[0.044, 1.135, -0.05, -1.743]","[6.244624680576756, 10.570229852811527]"
"[0.067, 1.33, -0.085, -2.051]","[5.111424121591648, 19.8827025894821]"
"[0.094, 1.136, -0.126, -1.786]","[7.591545717617539, 22.072314923722917]"
"[0.116, 0.943, -0.162, -1.535]","[9.0654638156012, 5.287650313365148]"
"[0.135, 1.139, -0.193, -1.873]","[16.82314552312461, 13.313663554302032]"
"[-0.007, 0.043, -0.016, 0.042]","[11.69606356779838, 17.953915527897596]"
"[-0.007, -0.152, -0.015, 0.33]","[7.904371138333641, 18.884270998131186]"
"[-0.01, 0.043, -0.008, 0.033]","[22.937279622242013, 24.415090113343105]"
"[-0.009, 0.239, -0.008, -0.262]","[9.691561727400881, 9.042111088717125]"
"[-0.004, 0.044, -0.013, 0.028]","[23.52874057989272, 13.713855663281262]"
"[-0.003, 0.239, -0.012, -0.269]","[21.117237664260305, 20.54284128547284]"
"[0.002, 0.434, -0.018, -0.565]","[12.333100106843071, 6.621045847606151]"
"[0.01, 0.239, -0.029, -0.278]","[21.145144407504297, 8.334105318832226]"
"[0.015, 0.045, -0.034, 0.005]","[6.8081036593805315, 20.682569590219778]"
"[0.016, 0.24, -0.034, -0.298]","[11.025723839994532, 16.166417789533018]"
"[0.021, 0.436, -0.04, -0.601]","[7.437990955477797, 6.822827249999591]"
"[0.029, 0.631, -0.052, -0.907]","[8.615166007769073, 6.83533302348345]"
"[0.042, 0.827, -0.071, -1.215]","[16.106588549932788, 5.700994994913501]"
"[0.059, 1.023, -0.095, -1.529]","[6.471500858114146, 16.825283454852514]"
"[0.079, 1.219, -0.125, -1.85]","[21.484496576085377, 12.937605203150364]"
"[0.104, 1.416, -0.162, -2.179]","[7.106677587057943, 18.803897827441784]"
"[0.132, 1.222, -0.206, -1.94]","[20.74860332210504, 24.748282227133913]"
"[0.013, 0.0, -0.013, 0.048]","[22.70595708599442, 23.256891508679264]"
"[0.013, 0.195, -0.012, -0.249]","[7.89150027096452, 24.61991961083591]"
"[0.017, 0.391, -0.017, -0.546]","[5.080877149838059, 8.781511931651217]"
"[0.025, 0.586, -0.028, -0.844]","[5.864913388928024, 21.5306855954878]"
"[0.036, 0.391, -0.045, -0.56]","[17.76872217048591, 15.152392182772005]"
"[0.044, 0.587, -0.056, -0.866]","[9.45418609727086, 16.479963597269943]"
"[0.056, 0.783, -0.073, -1.176]","[12.737291557013076, 7.757197137157381]"
"[0.072, 0.979, -0.097, -1.491]","[15.475769241661691, 13.991605299611647]"
"[0.091, 1.175, -0.127, -1.812]","[8.658198847222863, 5.898810896041198]"
"[0.115, 0.981, -0.163, -1.561]","[24.055385953339126, 14.126466400388981]"
"[0.134, 1.178, -0.194, -1.9]","[9.924675891125723, 6.838869669112066]"
"[-0.042, 0.017, 0.002, 0.012]","[16.718283501704725, 13.947459077973953]"
"[-0.041, -0.179, 0.002, 0.306]","[6.042202439200388, 11.433776033278445]"
"[-0.045, 0.017, 0.008, 0.014]","[21.83271719329016, 5.688240169500398]"
"[-0.045, 0.212, 0.009, -0.277]","[5.2992178393475875, 22.553154175877243]"
"[-0.04, 0.016, 0.003, 0.019]","[22.03124295245638, 11.352254390770424]"
"[-0.04, 0.211, 0.003, -0.273]","[8.475207329554786, 19.23204589606963]"
"[-0.036, 0.016, -0.002, 0.021]","[16.832183182377136, 21.918959832010188]"
"[-0.035, -0.179, -0.002, 0.313]","[14.694199409873363, 18.303509804150654]"
"[-0.039, -0.374, 0.005, 0.605]","[17.83268311000701, 8.461596837224368]"
"[-0.047, -0.179, 0.017, 0.314]","[14.843382715694272, 10.987984533374567]"
"[-0.05, -0.374, 0.023, 0.612]","[22.48511268448148, 17.478776601537653]"
"[-0.058, -0.179, 0.035, 0.326]","[20.738761542958187, 15.88598159132161]"
"[-0.061, 0.015, 0.042, 0.045]","[7.829960145202564, 7.326658310313614]"
"[-0.061, 0.21, 0.043, -0.234]","[6.106624916091132, 12.099042796980106]"
"[-0.057, 0.014, 0.038, 0.072]","[19.589023355880776, 21.18609513829399]"
"[-0.056, -0.182, 0.039, 0.376]","[13.982782140124858, 21.705390432288354]"
"[-0.06, -0.377, 0.047, 0.681]","[12.805774344760223, 18.80572719385896]"
"[-0.068, -0.183, 0.06, 0.403]","[8.187302903980104, 21.370830628505338]"
"[-0.071, 0.011, 0.069, 0.13]","[16.368675999607742, 14.45324199395408]"
"[-0.071, 0.205, 0.071, -0.14]","[5.915957261558978, 13.018923858512679]"
"[-0.067, 0.009, 0.068, 0.174]","[15.720280817810249, 7.5358156020309846]"
"[-0.067, -0.187, 0.072, 0.488]","[20.262953753273806, 24.254273738993327]"
"[-0.07, 0.007, 0.082, 0.218]","[9.709724360675636, 21.563839616564984]"
"[-0.07, 0.201, 0.086, -0.048]","[22.71700556251553, 21.18652061699071]"
"[-0.066, 0.005, 0.085, 0.271]","[21.391391167825933, 10.428619714222133]"
"[-0.066, 0.199, 0.09, 0.006]","[11.45843852416754, 15.721851358480745]"
"[-0.062, 0.002, 0.091, 0.326]","[23.936693496702386, 7.460724964556977]"
"[-0.062, -0.194, 0.097, 0.646]","[12.64969978132936, 22.077731417722056]"
"[-0.066, -0.39, 0.11, 0.967]","[5.4903317164832615, 20.19271178197625]"
"[-0.074, -0.587, 0.129, 1.293]","[8.831152043870517, 16.46524527310574]"
"[-0.086, -0.393, 0.155, 1.043]","[12.520323327363208, 19.607291127222865]"
"[-0.093, -0.201, 0.176, 0.803]","[12.427136515092457, 23.386032321226168]"
"[-0.098, -0.008, 0.192, 0.57]","[23.025646560644347, 24.248379249434777]"
"[-0.098, -0.205, 0.204, 0.917]","[7.026682839244294, 24.96415225112636]"
"[0.018, 0.038, -0.009, -0.033]","[6.435135993004945, 15.915306370573552]"
"[0.019, -0.157, -0.01, 0.257]","[12.869954304973257, 15.668684424517494]"
"[0.016, -0.352, -0.005, 0.546]","[11.744280155956783, 6.409408652602025]"
"[0.009, -0.157, 0.006, 0.252]","[20.658886661439805, 9.086684725822757]"
"[0.006, 0.038, 0.011, -0.038]","[23.33516928839653, 15.240435224491984]"
"[0.006, -0.157, 0.011, 0.258]","[21.70837084862842, 15.882670171134553]"
"[0.003, 0.038, 0.016, -0.031]","[21.363514945036762, 15.450719128499788]"
"[0.004, 0.233, 0.015, -0.319]","[19.186437016428414, 24.810068808911616]"
"[0.009, 0.038, 0.009, -0.022]","[17.15815036715514, 24.926757974557376]"
"[0.009, 0.233, 0.008, -0.312]","[24.221569258682784, 20.817588610034658]"
"[0.014, 0.037, 0.002, -0.016]","[12.038296277439306, 6.74079732271602]"
"[0.015, 0.233, 0.002, -0.308]","[16.84326498785175, 9.354671528576615]"
"[0.019, 0.037, -0.004, -0.015]","[21.83929272339578, 18.850752581554357]"
"[0.02, -0.158, -0.005, 0.276]","[16.055813099946054, 19.927600205056407]"
"[0.017, -0.353, 0.001, 0.567]","[16.491240936123067, 23.075736135865462]"
"[0.01, -0.548, 0.012, 0.86]","[7.976245276952129, 7.4141424143250845]"
"[-0.001, -0.743, 0.029, 1.157]","[20.768023643965307, 11.755255681651066]"
"[-0.016, -0.939, 0.052, 1.459]","[16.231163086416224, 22.440777269928596]"
"[-0.035, -1.134, 0.082, 1.767]","[16.601295400919284, 12.353144640220483]"
"[-0.057, -1.33, 0.117, 2.084]","[8.489651040307525, 17.54300147383756]"
"[-0.084, -1.137, 0.159, 1.83]","[9.852120651099979, 16.881486526503178]"
"[-0.107, -1.333, 0.195, 2.167]","[14.194774948440397, 13.79942599625457]"
"[-0.031, 0.008, -0.004, -0.001]","[16.848887445934672, 16.267190943785895]"
"[-0.031, 0.204, -0.004, -0.294]","[11.388400659154488, 5.388083745191468]"
"[-0.027, 0.399, -0.01, -0.588]","[18.198882248626862, 22.650393502661085]"
"[-0.019, 0.594, -0.022, -0.884]","[6.725274852958876, 10.987183541029603]"
"[-0.007, 0.399, -0.039, -0.598]","[19.30372283569558, 9.462184166119263]"
"[0.001, 0.595, -0.051, -0.903]","[6.5855394686530495, 7.155097112002149]"
"[0.013, 0.791, -0.069, -1.212]","[17.290611374481323, 18.315950484968223]"
"[0.028, 0.987, -0.094, -1.525]","[10.959160384515776, 16.975242093143372]"
"[0.048, 0.793, -0.124, -1.263]","[5.440665564311605, 5.767112822823798]"
"[0.064, 0.989, -0.149, -1.592]","[17.24596189135496, 9.268877003607582]"
"[0.084, 0.796, -0.181, -1.35]","[21.99919224013172, 22.517124952559513]"
"[0.1, 0.993, -0.208, -1.693]","[21.54570087764832, 18.632891434708476]"
"[0.025, 0.012, -0.026, 0.032]","[20.212285738527928, 10.724403733659525]"
"[0.025, 0.207, -0.026, -0.269]","[17.068984526000467, 23.697964011689663]"
"[0.029, 0.403, -0.031, -0.57]","[12.895424183921493, 16.34470135805891]"
"[0.037, 0.598, -0.042, -0.872]","[17.95501125117646, 23.58373810072278]"
"[0.049, 0.794, -0.06, -1.178]","[13.311782302521218, 12.83388698404503]"
"[0.065, 0.6, -0.083, -0.904]","[14.516269732442545, 13.699158738466476]"
"[0.077, 0.796, -0.101, -1.222]","[18.255340887459507, 11.343383305195218]"
"[0.093, 0.992, -0.126, -1.545]","[13.42428155758192, 14.376927378489269]"
"[0.113, 1.188, -0.157, -1.874]","[24.403158702452693, 16.06348945359165]"
"[0.136, 1.385, -0.194, -2.211]","[21.57693653386222, 13.870009910738384]"
"[-0.042, -0.003, -0.025, 0.045]","[9.789904831205611, 15.325573788782465]"
"[-0.043, -0.197, -0.025, 0.329]","[16.970379163462933, 16.911573726018865]"
"[-0.046, -0.392, -0.018, 0.614]","[10.627694000595266, 11.235344924554585]"
"[-0.054, -0.197, -0.006, 0.316]","[21.655825166836728, 8.725989289456574]"
"[-0.058, -0.392, 0.001, 0.607]","[22.2694051138372, 23.559549258981107]"
"[-0.066, -0.197, 0.013, 0.314]","[5.429471893823024, 11.012837970629242]"
"[-0.07, -0.392, 0.019, 0.611]","[24.28861225852016, 11.498468955426182]"
"[-0.078, -0.587, 0.031, 0.91]","[15.084223193238113, 20.27160317266128]"
"[-0.09, -0.393, 0.049, 0.627]","[23.2891361686958, 5.2945648860022025]"
"[-0.097, -0.198, 0.062, 0.35]","[13.8978536602192, 8.528355111394095]"
"[-0.101, -0.394, 0.069, 0.662]","[12.59106734895386, 7.274980459412834]"
"[-0.109, -0.2, 0.082, 0.392]","[16.564025824307603, 10.267115632831816]"
"[-0.113, -0.006, 0.09, 0.126]","[5.308793119173384, 9.401538455617139]"
"[-0.113, -0.203, 0.093, 0.446]","[24.823612909847757, 15.41995060294723]"
"[-0.118, -0.399, 0.102, 0.766]","[12.402474083342787, 12.916396409202111]"
"[-0.125, -0.205, 0.117, 0.507]","[12.574626857727756, 15.571392434622375]"
"[-0.13, -0.012, 0.127, 0.253]","[21.923723106734233, 14.856391652225284]"
"[-0.13, 0.181, 0.132, 0.003]","[11.950406968819268, 13.421407433237027]"
"[-0.126, 0.374, 0.132, -0.245]","[5.404288344590311, 10.928300015673102]"
"[-0.119, 0.567, 0.127, -0.493]","[19.195421517575653, 22.629570980083813]"
"[-0.107, 0.76, 0.117, -0.743]","[6.500930517306795, 21.14082083491143]"
"[-0.092, 0.954, 0.103, -0.997]","[11.341570792462177, 7.623405960033686]"
"[-0.073, 0.757, 0.083, -0.674]","[19.29446195275762, 20.08255477356152]"
"[-0.058, 0.951, 0.069, -0.939]","[22.750441667833606, 16.590683298373307]"
"[-0.039, 0.755, 0.05, -0.626]","[11.394338418827424, 18.109497851518658]"
"[-0.024, 0.949, 0.038, -0.902]","[16.264547893897465, 10.693046746674877]"
"[-0.005, 1.144, 0.02, -1.183]","[13.163640289737728, 9.867176531500839]"
"[0.018, 1.339, -0.004, -1.469]","[14.107271240340529, 10.437019581094496]"
"[0.045, 1.534, -0.033, -1.763]","[22.082938435869686, 12.169435234386306]"
"[0.075, 1.339, -0.069, -1.481]","[9.440510738126694, 8.040919053735195]"
"[0.102, 1.535, -0.098, -1.794]","[20.104740189454926, 11.634156866961021]"
"[0.133, 1.731, -0.134, -2.116]","[20.973816261174363, 16.240883414483314]"
"[0.168, 1.538, -0.176, -1.867]","[13.112878003632574, 12.045715679974151]"
"[-0.004, -0.036, -0.007, 0.021]","[16.83342633760547, 15.710090560620479]"
"[-0.004, 0.159, -0.006, -0.274]","[6.2038617562686245, 22.268042601397124]"
"[-0.001, 0.354, -0.012, -0.568]","[20.05559259548768, 22.00319190274263]"
"[0.006, 0.55, -0.023, -0.865]","[15.756711093528825, 19.897170749003422]"
"[0.017, 0.745, -0.04, -1.164]","[15.617950194421779, 15.302228680344438]"
"[0.032, 0.941, -0.064, -1.47]","[18.25957866027409, 12.893990234691277]"
"[0.051, 1.137, -0.093, -1.781]","[21.48362515504857, 16.941584191002313]"
"[0.073, 0.943, -0.129, -1.519]","[12.300220141563567, 22.470780259799152]"
"[0.092, 0.749, -0.159, -1.269]","[7.288917268008799, 14.488497842511077]"
"[0.107, 0.946, -0.185, -1.607]","[23.018483651286047, 5.138191884598786]"
"[0.046, -0.028, 0.048, -0.043]","[10.86263191511687, 9.406234407095306]"
"[0.046, 0.167, 0.047, -0.32]","[11.281201406029869, 21.05804344980367]"
"[0.049, 0.361, 0.041, -0.598]","[11.284105075296665, 7.390016132348782]"
"[0.056, 0.165, 0.029, -0.292]","[19.619412190833582, 23.508546940145365]"
"[0.06, -0.03, 0.023, 0.009]","[8.181064789147698, 23.651004368571925]"
"[0.059, -0.226, 0.023, 0.309]","[24.494528961612204, 14.833346293533104]"
"[0.055, -0.031, 0.029, 0.024]","[18.4767994719814, 5.544530890470373]"
"[0.054, -0.226, 0.03, 0.326]","[19.365752711248597, 12.134551693160152]"
"[0.049, -0.032, 0.036, 0.043]","[11.259788312438372, 8.632876009096282]"
"[0.049, -0.227, 0.037, 0.346]","[15.268741953077187, 23.50661391726714]"
"[0.044, -0.033, 0.044, 0.066]","[23.444327302427574, 6.855830245134895]"
"[0.044, 0.162, 0.045, -0.213]","[21.217389503615056, 12.331237713189527]"
"[0.047, 0.356, 0.041, -0.491]","[15.417438907542092, 21.29831768027254]"
"[0.054, 0.551, 0.031, -0.77]","[8.455526368004943, 14.358189865467674]"
"[0.065, 0.355, 0.016, -0.468]","[10.508770624362624, 16.130087494743492]"
"[0.072, 0.55, 0.007, -0.755]","[10.669641640498018, 23.172453665096985]"
"[0.083, 0.745, -0.008, -1.046]","[19.712577281243657, 20.72483549771848]"
"[0.098, 0.94, -0.029, -1.341]","[5.996151731027517, 18.703633342954326]"
"[0.117, 1.136, -0.056, -1.643]","[21.666209446830145, 11.4530490055349]"
"[0.139, 0.941, -0.089, -1.368]","[18.1849752219045, 22.97120590369839]"
"[0.158, 1.137, -0.116, -1.687]","[14.11151857934743, 15.609653010759159]"
"[0.181, 0.944, -0.15, -1.433]","[7.116494218951739, 16.910270986700937]"
"[0.2, 1.14, -0.179, -1.769]","[6.8042985513877134, 12.58578270110874]"
"[-0.011, 0.019, -0.048, -0.027]","[12.587986995727423, 5.597782302705506]"
"[-0.011, 0.215, -0.049, -0.334]","[10.437364112845973, 11.807560217866984]"
"[-0.007, 0.411, -0.055, -0.642]","[13.836066537212421, 20.85225541664081]"
"[0.001, 0.607, -0.068, -0.952]","[18.470322659186927, 16.54042238670963]"
"[0.014, 0.803, -0.087, -1.265]","[5.659577930138385, 16.131506244741807]"
"[0.03, 0.999, -0.113, -1.584]","[19.87505242058497, 6.688841212100126]"
"[0.05, 0.805, -0.144, -1.328]","[8.123382981385594, 12.741113780010341]"
"[0.066, 1.002, -0.171, -1.662]","[7.844870698034114, 21.867253203637596]"
"[0.086, 0.809, -0.204, -1.427]","[10.802618554232755, 22.69083797866436]"
"[0.017, 0.05, -0.031, 0.031]","[18.8651274169802, 22.651579469944544]"
"[0.018, 0.245, -0.03, -0.271]","[20.08348219802314, 17.73763844938052]"
"[0.023, 0.441, -0.035, -0.573]","[10.050901034821056, 5.335918666457584]"
"[0.032, 0.636, -0.047, -0.877]","[15.416672561774334, 10.263013866600904]"
"[0.044, 0.832, -0.064, -1.184]","[16.467914727684636, 23.99652421972281]"
"[0.061, 1.028, -0.088, -1.496]","[16.17017675706493, 18.643515540588577]"
"[0.082, 0.834, -0.118, -1.232]","[8.59834394350952, 18.402726804118085]"
"[0.098, 0.64, -0.143, -0.979]","[6.0173003876783415, 6.203324697475981]"
"[0.111, 0.837, -0.162, -1.313]","[11.754804343220114, 16.731816018431537]"
"[0.128, 1.034, -0.188, -1.651]","[6.616875440654306, 17.526498161820804]"
"[0.031, 0.005, 0.02, -0.011]","[20.87554202320184, 21.711911129020528]"
"[0.031, -0.19, 0.019, 0.288]","[20.423931757137616, 14.112702594178476]"
"[0.027, 0.005, 0.025, 0.001]","[9.442094816595944, 8.780044784503641]"
"[0.027, 0.2, 0.025, -0.283]","[15.439254868314569, 22.90819213180655]"
"[0.031, 0.394, 0.019, -0.568]","[6.9596593322821025, 21.1890534937972]"
"[0.039, 0.589, 0.008, -0.854]","[9.974982884463447, 12.97821518490731]"
"[0.051, 0.394, -0.009, -0.559]","[15.56430944273027, 5.649679316997796]"
"[0.058, 0.589, -0.02, -0.855]","[8.282430741926472, 13.393916714665634]"
"[0.07, 0.394, -0.037, -0.568]","[13.734096103408618, 15.756880240082051]"
"[0.078, 0.59, -0.049, -0.873]","[23.678662800402833, 6.9444379696238485]"
"[0.09, 0.396, -0.066, -0.596]","[6.442662326374396, 6.43424539260041]"
"[0.098, 0.592, -0.078, -0.908]","[5.206441854288395, 12.430150717585427]"
"[0.11, 0.398, -0.096, -0.641]","[17.102026969593574, 17.92616050175311]"
"[0.118, 0.204, -0.109, -0.38]","[5.706061994830945, 21.180823266165312]"
"[0.122, 0.01, -0.117, -0.124]","[10.137896924369077, 11.901541925926837]"
"[0.122, 0.207, -0.119, -0.451]","[19.809380500121225, 5.960334272053142]"
"[0.126, 0.404, -0.128, -0.779]","[16.124602965470178, 21.97601566581349]"
"[0.134, 0.6, -0.144, -1.109]","[17.679960982452183, 10.379273814011484]"
"[0.146, 0.797, -0.166, -1.443]","[20.876045248449053, 8.990418574905924]"
"[0.162, 0.994, -0.195, -1.782]","[20.118764667343967, 17.66214212672716]"
"[0.008, -0.0, -0.033, -0.037]","[20.972834723918197, 21.80305099708702]"
"[0.008, 0.195, -0.034, -0.34]","[13.104829304943346, 7.190111466787106]"
"[0.012, 0.391, -0.041, -0.643]","[17.176569647407348, 19.41279872721098]"
"[0.02, 0.196, -0.054, -0.364]","[11.189912474413319, 9.34977397967323]"
"[0.024, 0.392, -0.061, -0.673]","[10.94634316132796, 6.627051952092755]"
"[0.032, 0.198, -0.074, -0.4]","[10.434003428144266, 9.317353664578311]"
"[0.036, 0.394, -0.082, -0.715]","[6.065807209284511, 23.94758923776994]"
"[0.044, 0.2, -0.097, -0.449]","[21.56854215065058, 7.497942011187854]"
"[0.048, 0.397, -0.106, -0.771]","[12.368511591639628, 22.37140089147272]"
"[0.056, 0.203, -0.121, -0.513]","[10.136737020886763, 17.063205640405638]"
"[0.06, 0.4, -0.131, -0.841]","[8.755848544050204, 19.712046438255435]"
"[0.068, 0.596, -0.148, -1.172]","[13.984247798773149, 16.543124306218285]"
"[0.08, 0.403, -0.172, -0.93]","[6.9227430228894065, 21.188537228215832]"
"[0.088, 0.6, -0.19, -1.271]","[24.665410100444483, 8.814141565609736]"
"[0.041, 0.035, -0.021, -0.032]","[19.30440007555829, 19.345367698969817]"
"[0.042, 0.231, -0.021, -0.331]","[15.865126123676852, 9.409132456451669]"
"[0.047, 0.036, -0.028, -0.045]","[21.31779249401292, 17.671442488023803]"
